Ren_scenarios,Dem_scenarios,Region,Fuel type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_3.5,Asia,Gas,1263005.5689595612,1409961.0453208976,1581291.2018450524,1771103.1750060362,1981655.7736370026,2215572.0792125785,2475905.231164611,2857979.024664436,3350511.3995118155,4005881.5970436013,4915984.735818359,6257957.149717024,6831408.32089613,7527028.4784845,8389610.003362726,9489321.383084048,10942641.297917958,11319244.741530523,11728987.0726616,12176836.59448557,12669062.264976155,13213709.540198201,13663080.597487424,14144065.428117288,14660100.485677775,15215237.222160423,15814310.255321968
50.0,All_3.75,Asia,Coal,7866392.253585203,8051362.946467234,8120055.660276798,8185667.191708021,8245366.13050915,8296223.799188621,8335069.156068953,8112589.985958738,7793267.444945225,7322481.295889822,6605351.65421183,5459689.902914755,5188140.663272125,4803115.945829115,4257952.851399178,3479347.980430122,2345341.2004688433,2275231.432062428,2185181.1240022006,2070368.1927077607,1924599.385955312,1739802.7666665257,1671662.1899683583,1587893.0435007652,1485478.5997605459,1360741.8812397965,1209167.334566765
50.0,All_3.75,Asia,Oil,87894.2283863175,82606.7402222626,78205.37763348357,73148.98602421553,67317.19256947888,60575.84422497085,52772.48489767005,51099.10578560883,48730.11694110403,45279.05289626378,40074.051996672875,31824.599877815428,32583.937475922994,33346.88295417945,34100.245435187884,34822.7570099251,35478.29824980094,34110.76651916485,32387.680669875303,30224.452119554564,27512.49442312214,24110.34365245329,21227.0286194413,17831.29432463448,13829.910989100683,9109.542868167024,3531.3163474764237
50.0,All_3.75,Asia,Gas,1263005.5689595612,1412765.9740896332,1587620.8181547155,1781811.6420146513,1997753.2974719354,2238251.1109463326,2506572.162128689,2899593.05917223,3406721.0334125445,4082129.782946062,5020859.884214234,6406109.846843716,7009488.316328221,7741518.526758919,8649327.52866887,9806732.86319653,11336260.951329507,11755865.10914258,12212291.884067012,12711004.866501192,13258885.179925976,13864749.225185277,14375695.879293656,14922900.916875698,15510275.373758428,16142423.96968016,16824833.288335815
50.0,All_4.0,Asia,Coal,7866392.253585203,8067348.254699639,8152507.259139127,8235099.692231043,8312287.780821274,8381099.256232162,8438281.529964907,8230714.828543356,7924040.779107573,7461916.647394503,6746348.316693176,5589034.426111152,5323488.691071871,4940097.444057456,4389876.937473632,3595826.8009306053,2429773.820323064,2363056.550838916,2275276.3191887983,2161230.2391240047,2014226.2441071598,1825531.248519274,1758828.953211352,1675277.932806793,1571543.1398322526,1443553.2143227735,1286300.984164533
50.0,All_4.0,Asia,Oil,87894.2283863175,82770.74900106277,78517.92346445048,73590.72610541056,67863.55734574508,61195.5722589344,53425.961592426815,51843.14361293488,49547.82272517059,46141.26071916849,40929.46558847339,32578.55070108738,33433.98606973559,34297.91266902014,35156.77280196544,35988.525333733174,36755.52207915305,35427.4598800627,33723.02737388183,31550.90969413736,28793.726482666156,25298.376685779906,22333.885847610178,18812.585657271164,14631.177953634175,9663.926766457942,3756.5815444251234
50.0,All_4.0,Asia,Gas,1263005.5689595612,1415570.9028583688,1593965.7049500463,1792571.840647579,2013967.6105136115,2261149.7923968453,2537610.8084015213,2941813.111494237,3463886.8205804573,4159862.0676966296,5128034.266975412,6557875.833267484,7192351.596465664,7962301.205819323,8917309.507145522,10135034.798873354,11744367.97272175,12209647.627694957,12715805.67012588,13268851.49409385,13876339.508314947,14547932.356697116,15125298.811443118,15744137.61797683,16408898.024157578,17124811.347146526,17898101.444284085
50.0,All_4.25,Asia,Coal,7866392.253585203,8083333.562932042,8185036.960525796,8284770.421212274,8379693.783318387,8466794.75885852,8542741.920473704,8350555.737241884,8057033.2389289085,7604059.389307336,6890428.613692083,5721525.8523509,5462463.3543494195,5081087.855233624,4525988.72104127,3716292.2653941023,2517306.4193851203,2454325.335424804,2369129.5253517707,2256110.0820956067,2108041.523332336,1915481.9375429936,1850508.8759446878,1767408.4726395255,1662500.0048388909,1531282.5743711866,1368212.133459173
50.0,All_4.25,Asia,Oil,87894.2283863175,82934.75777986294,78831.22151161708,74034.59505035632,68413.87649211352,61821.28795122112,54087.33995381885,52597.99049680656,50379.40436472823,47020.20987176022,41803.58730309075,33350.84486106706,34306.811621870314,35276.77530572913,36246.83776704658,37194.19364305288,38079.639719470404,36795.781430840114,35114.07346963204,32936.021425039435,30134.832774875184,26544.921446880708,23498.05188269022,19847.168420114616,15477.992809864501,10251.234599909601,3995.7992046080967
50.0,All_4.25,Asia,Gas,1263005.5689595612,1418375.831627104,1600325.8622310457,1803383.8955593354,2030299.2762791552,2284269.715219481,2569024.7657414903,2984646.518293863,3522022.66839516,4239103.665830542,5237552.581998991,6713334.228405218,7380114.678026997,8189545.330784382,9193798.101001354,10474573.308927288,12167458.815332286,12681223.180470483,13240321.800769787,13851365.343559243,14522648.565901952,15264762.89050299,15913713.29815022,16609973.590348778,17358602.73455471,18165541.07261063,19037845.623556077
