Dem_scenarios,Ren_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_1.5,50.0,Mideast+Africa,245722.47244602663,259403.90264216257,276110.50206748664,291879.7629270297,306924.9226192721,321407.30984337366,335451.3888930486,372137.87495734514,405891.6074261241,437362.00826599903,467033.80934031296,495276.42400571355,543651.6377834707,589362.0643433132,632907.4283247909,674684.7596273802,715013.7740457439,771442.8948750512,825970.13012824,878913.7631730516,930540.020127731,981073.5633776125,1063498.5830137555,1143903.0787776106,1222601.125491748,1299863.9020515326,1375927.0803013807
All_1.5,50.0,OECD+EU,3484255.9983094623,3534187.205668301,3548461.3759737685,3570640.419146848,3599371.3743564263,3633637.7532006637,3672662.1484809117,3675193.915098819,3687375.944401272,3707439.3556966064,3734070.1190493517,3766272.808170347,3809278.9087853655,3856449.8162767882,3907287.723949111,3961401.7509446135,4018481.598388842,4071309.0211819108,4127052.293361889,4185487.195366589,4246430.05409776,4309729.640190408,4380820.44208364,4453879.182237716,4528840.0475643175,4605649.416382789,4684263.817782322
All_1.5,50.0,E. Europe+Russia,277853.67023821763,280028.76855606126,286183.5269132254,292477.75714100257,298904.5296407278,305458.99813507084,312137.8028892911,326005.6880385856,339265.30930212594,352070.0499323378,364534.7144624393,376747.0996206277,390205.2313850725,403391.44545019185,416377.0823053711,429219.1540882411,441963.8917112363,455948.66024878,469833.35497250635,483655.57425463595,497447.07327049994,511234.94742151315,530123.441366443,548855.7550231152,567476.0189832025,586022.6013844418,604529.1054080134
All_1.75,50.0,Asia,4110455.5378154577,4269984.419072377,4481481.68324345,4686518.871487296,4886920.405519003,5084073.961436189,5279057.213751424,5485884.163601632,5688370.445553398,5888019.33494776,6085964.004110622,6283078.707649606,6450858.213036819,6620705.921113411,6792795.659092383,6967276.2729929965,7144278.025599596,7309641.552860945,7478387.760446173,7650514.379304498,7826029.136836363,8004947.944961205,8123064.946279013,8246677.012118661,8375518.690943561,8509369.652814088,8648047.102631606
All_1.75,50.0,Latin America,995978.1151765023,1006797.8371724829,998646.3312570034,994183.5492018287,992743.5070076858,993825.282122026,997045.2305016108,999815.4520680875,1005326.5407610852,1013092.3104117333,1022752.1459672294,1034033.403686127,1045977.2742026477,1059342.7775449385,1073962.50143889,1089705.2556474265,1106467.1563547133,1126129.704117362,1146587.082500727,1167796.5237340492,1189723.765879599,1212341.3696063978,1253139.602534396,1294046.6026103327,1335128.1148900911,1376442.2488145002,1418040.8234012828
All_1.75,50.0,Mideast+Africa,245722.47244602663,260404.1864533402,278224.86404973996,295209.3790734057,311561.99500092596,327437.5990951931,342956.0214168481,381790.82367518725,417851.81739759946,451775.59527166106,484037.91216368164,515001.91684387374,567144.4491930442,616807.2229250299,664484.7699209752,710570.7505641951,755382.9029216716,817500.9015151077,877943.4562326627,937028.6154415817,995023.2750146441,1052153.511757165,1143884.248439022,1233930.762748224,1322610.5851400427,1410199.0466561757,1496936.578376726
All_1.75,50.0,OECD+EU,3484255.9983094623,3547815.336207176,3575634.3077263595,3611372.4722130494,3653751.271071585,3701812.5769120767,3754826.005066418,3770525.4058658923,3796030.0523747504,3829620.749397013,3870022.829504447,3916273.0579364547,3973889.230526369,4036035.309089394,4102232.1244284837,4172105.8246663823,4245361.985060282,4314381.294161611,4386742.8401127765,4462236.724413002,4540693.197664919,4621974.686627006,4711949.38947496,4804409.2532733455,4899301.710445815,4996586.493374362,5096233.624582099
All_1.75,50.0,E. Europe+Russia,277853.67023821763,281108.5836282232,288375.02475456655,295814.1949017664,303420.42860168515,311190.06291459646,319120.8698403633,334462.0059791393,349262.27465211664,363672.7776518913,377806.9565216645,391751.8966494453,407067.16515820246,422176.4044095444,437151.1809687099,452049.0082589872,466916.8338091827,483170.4890591477,499397.13855500694,515635.4719697261,531918.4616306132,548274.528375503,570193.3824762964,592051.9080673715,613895.8764809194,635765.4155077455,657695.9953287627
All_2.0,50.0,Asia,4110455.5378154577,4286386.59887813,4515622.357291448,4739637.702995046,4960192.035151711,5178630.094478612,5396002.486923283,5626645.541318232,5854013.7171169855,6079601.47039409,6304542.409098178,6529717.906245764,6725392.403059208,6924112.699069585,7126076.863013887,7331459.076534288,7540415.937992602,7737978.8185699675,7939983.585574809,8146457.5251205675,8357438.482680403,8572973.095841091,8724134.261473978,8881773.063708702,9045654.737991292,9215589.731806003,9391426.228356484
All_2.0,50.0,Latin America,995978.1151765023,1010665.2234513614,1006254.1853763579,1005452.0130416144,1007628.1231932888,1012308.9384004463,1019132.4559520151,1025469.5483447126,1034601.2827623808,1046055.9229937998,1059484.4586480348,1074623.8819967527,1090491.742552723,1107889.229043573,1126655.3150328037,1146664.661229442,1167818.854577991,1192119.7139977436,1217358.9958305035,1243498.712232698,1270509.349105368,1298368.2112702557,1345866.1494376159,1393704.184286396,1441953.436428946,1490677.637961582,1539934.4642466775
