Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_1.5,E. Europe+Russia,1507440.1985133437,1522910.2025694968,1526977.6582265033,1531997.928279716,1537909.5649013086,1544658.6903063946,1552197.9378082475,1567879.7757044737,1584060.3188708513,1600729.2127620673,1617877.5407198477,1635497.6684981354,1654053.228421083,1673161.1486804723,1692807.0526447827,1712978.8232360387,1733666.3035079862,1758761.0209616318,1784269.7609590478,1810195.85436221,1836542.9734104897,1863315.1003591984,1886275.6542500504,1909807.1762411078,1933899.62821698,1958544.8390037874,1983736.2625226963
All_1.75,Asia,14021785.64034378,14390065.213378137,14734977.27076161,15081722.425252104,15430688.832601184,15782231.73920992,16136678.372155506,16397829.202141542,16664235.94466865,16935943.999937706,17213003.690804027,17495469.891700573,17806636.904143464,18123032.01320038,18444764.647047553,18771944.200990565,19104680.298416503,19392378.576089688,19686927.801895257,19988308.85371581,20296516.253641605,20611556.662171163,20877110.386510503,21151408.309321642,21434267.69291215,21725538.805703074,22025100.671784524
All_1.75,Latin America,1583568.1885069385,1625007.5075588226,1665146.4844445675,1705459.573303937,1745994.5816245389,1786795.1627838903,1827901.430447352,1874935.1119581738,1922306.1377040215,1970053.4034228437,2018213.5614854726,2066821.3054960414,2121840.1083018743,2177001.837046026,2232376.661656975,2288028.6313590338,2344016.554220703,2414810.7966460907,2485684.339595445,2556727.3262569844,2628022.552317536,2699646.4512305586,2765100.7567636347,2830916.385454162,2897163.921850134,2963908.2566343346,3031209.411023369
All_1.75,Mideast+Africa,2136131.1554832133,2207659.1214919756,2260090.9681685595,2312817.3957921322,2365896.339558143,2419380.863622847,2473319.886058033,2558335.7036881945,2643491.945503895,2728882.5822292566,2814595.1184113803,2900711.3775783638,3015810.704837863,3130125.776860794,3243873.836084872,3357250.8441815213,3470434.4773129025,3649303.857020203,3826702.4072782076,4002956.5514290757,4178363.0126738446,4353192.7138394965,4548669.243816969,4742429.850957455,4934865.478479033,5126328.519093052,5317138.1937022405
All_1.75,OECD+EU,9533311.222630475,9536532.487224028,9603705.536920205,9676556.34178433,9754802.823247893,9838200.496355437,9926537.272382854,10072447.747595005,10221809.313749896,10374621.395293027,10530888.810231378,10690621.266028326,10795680.516030524,10906146.256040271,11021818.627231527,11142526.252318084,11268122.440352371,11364986.634041648,11467453.398753526,11575321.70430461,11688417.076678481,11806588.30947076,11976112.601836845,12150200.67405192,12328801.505111549,12511877.294275155,12699401.810339112
All_1.75,E. Europe+Russia,1507440.1985133437,1526661.2129206532,1534508.9792737155,1543346.015128606,1553117.454876421,1563775.5204944804,1575278.5376159924,1595112.7545033747,1615543.7373578388,1636564.971983698,1658171.3331094456,1680358.9422341308,1703609.2484268602,1727534.2045235774,1752123.5171843695,1777369.1129171893,1803264.8546948258,1833872.8371371294,1865053.4256786823,1896813.8115256547,1929161.5962472372,1962104.7634490095,1991174.9669858566,2020980.675357127,2051516.17495443,2082777.6561345577,2114762.979298141
All_2.0,Asia,14021785.64034378,14425421.638963833,14807473.974488588,15193163.274906114,15582901.62771968,15977071.745205216,16376031.541689964,16681943.102090765,16994619.169233676,17314150.721069794,17640634.44716741,17974172.433106087,18338801.488928426,18710511.397651818,19089461.268253796,19475811.503835097,19869724.080300175,20218498.33117591,20576026.8596349,20942348.13692249,21317515.045826193,21701593.471202753,22035198.775267415,22379564.338082273,22734569.93028829,23100128.864597414,23476183.88617547
All_2.0,Latin America,1583568.1885069385,1629000.1549975423,1673339.07470966,1718061.4405536174,1763217.5791468099,1808854.0950047527,1855014.4453370266,1907420.8221240416,1960417.558022634,2014047.8473207692,2068352.9913783483,2123372.6652306756,2185252.877725605,2247571.91043363,2310404.5312758097,2373819.8804881875,2437882.311795697,2517682.2879423937,2597942.566293454,2678759.576386224,2760222.9663303914,2842416.551104366,2918485.5413849778,2995293.4791619377,3072919.3422638155,3151436.808238078,3230915.063278328
All_2.0,Mideast+Africa,2136131.1554832133,2213083.3453777055,2271210.7101474265,2329907.110641286,2389234.228016105,2449249.401213892,2510006.30567597,2602662.2255219053,2695901.512673199,2789822.895552399,2884519.4303422477,2980079.2320530456,3105940.450290056,3231592.483055781,3357256.388899283,3483133.3351672925,3609407.4554434507,3804765.034552796,3999523.557373223,4194017.127237765,4388551.970026726,4583410.177404585,4800991.56898721,5017798.929330401,5234237.340151661,5450674.915469748,5667448.05591152
All_2.0,OECD+EU,9533311.222630475,9559963.77097642,9650956.169357402,9748057.70151283,9851027.030712914,9959658.28986448,10073776.258241711,10246966.116845382,10424465.729152244,10606303.28683182,10792512.639981898,10983132.84765091,11118317.455853092,11259681.805973036,11407062.319113582,11560323.141980674,11719352.55108131,11849137.659550652,11985345.378350439,12127810.2466061,12276392.843982747,12430976.659042874,12640447.688918348,12855701.792004049,13076723.869940652,13303512.535206519,13536078.521805692
